Incident Date,State,City Or County,Address,Killed,Injured
7-Sep-15,Colorado,Denver,1909 Blake Street,0,4
5-Sep-15,North Carolina,Charlotte,6800 block of Fieldvale Place,1,3
5-Sep-15,Florida,Daytona Beach,300 block of Pearl Street,0,4
5-Sep-15,Nevada,Las Vegas,5000 Block of Hollywood Boulevard,1,3
5-Sep-15,Missouri,Columbia,1509 Ashley Street,0,4
30-Aug-15,Tennessee,Memphis,3300 block of Sobota Circle,1,4
29-Aug-15,Tennessee,Bristol,618 Henson Road,3,2
29-Aug-15,Texas,Tyler,638 ENE Loop 323,1,3
28-Aug-15,New York,Brooklyn,589 Flatbush Avenue,1,3
27-Aug-15,California,Salinas,928 Blanco Circle,2,2
26-Aug-15,Minnesota,Minneapolis (Brooklyn Center),5000 block of Drew Avenue North,0,4
26-Aug-15,Illinois,Chicago,3025 W. Van Buren Ave,2,2
26-Aug-15,Florida,West Palm Beach,800 block of 19th Street,2,2
25-Aug-15,Louisiana,New Orleans,Fern Street and Olive Street,1,3
23-Aug-15,California,Modesto,1100 block of Kansas Avenue,1,7
22-Aug-15,Florida,Orlando (Pine Hills),State Road 408,0,4
22-Aug-15,New Mexico,Roswell,302 East Reed Street,3,1
21-Aug-15,North Carolina,Durham,2700 block of Hinson Drive,0,8
21-Aug-15,Ohio,Cincinnati,Mathis and Prentice,2,5
20-Aug-15,Texas,Grulla (La Grulla),FM 2360,2,2
19-Aug-15,New York,Rochester,500 Genesee Street,3,4
16-Aug-15,Texas,Fort Worth,3651 Sycamore School Rd,0,6
16-Aug-15,Illinois,Chicago,5400 block of West Division Street,0,4
16-Aug-15,South Carolina,Bennettsville,Highway 38N,0,5
15-Aug-15,Pennsylvania,Pittsburgh,West Prospect Avenue,1,3
15-Aug-15,California,Los Angeles,57th Street and South Normandie Avenue,0,4
15-Aug-15,South Carolina,Orangeburg,2868 Bamberg Road,1,3
10-Aug-15,California,Long Beach,1700 block of East 10th Street,0,4
9-Aug-15,Mississippi,Forest,Poplar Street,1,3
9-Aug-15,Michigan,Detroit,15200 block of Hazelridge,1,3
9-Aug-15,Missouri,Kansas City,40th Street and Pennsylvania Avenue,0,4
8-Aug-15,North Carolina,Gastonia,4908 Greenwood Drive,2,3
8-Aug-15,Arkansas,Blytheville,833 Anderson Street,1,11
8-Aug-15,Texas,Houston,2211 Falling Oaks,8,0
7-Aug-15,Vermont,Barre (Berlin),3182 Airport Road,4,0
6-Aug-15,South Carolina,Columbia,1505 Garden Plaza,0,4
4-Aug-15,Missouri,Saint Louis,2500 block of Semple,1,4
3-Aug-15,New York,Brooklyn,98 Dwight Street,0,5
2-Aug-15,New York,Brooklyn,Stanley Avenue and Crescent Street,0,9
2-Aug-15,Maryland,Baltimore,2700 block of Garrison Avenue,0,7
2-Aug-15,Illinois,Chicago,4800 block of West Kamerling Avenue,1,4
2-Aug-15,Georgia,Savannah,Barnard Street,0,5
2-Aug-15,Illinois,Chicago,6700 block of South Winchester Avenue,0,4
1-Aug-15,Florida,Orlando,5801 Shenandoah Way,0,4
30-Jul-15,Pennsylvania,Pittsburgh,Brushton Avenue,0,4
27-Jul-15,Illinois,Rockford,900 block of Kent Street,0,5
26-Jul-15,Missouri,Kansas City,Thompson and Colorado,2,3
26-Jul-15,Louisiana,New Orleans,Piety and Treasure street,0,4
25-Jul-15,Virginia,Hopewell,500 block of N. 7th Ave,0,4
24-Jul-15,Pennsylvania,Erie,200 block of West 29th Street,2,4
23-Jul-15,Louisiana,Lafayette,3141 Johnson Street,3,9
22-Jul-15,Georgia,Suwanee,5500 block of Old Atlanta Road,5,0
21-Jul-15,Florida,Miami Gardens,Northwest 25th Avenue and Miami Gardens Drive,1,3
20-Jul-15,New York,Bronx,E. 153rd St. and the Grand Concourse,0,6
19-Jul-15,Virginia,Suffolk,100 block of North Capitol Street,0,4
19-Jul-15,Kentucky,Louisville,2928 W Kentucky St,0,6
19-Jul-15,North Carolina,Rocky Mount,Interstate 64 and Raliegh Street,0,4
18-Jul-15,California,San Diego,200 block of South Bancroft Street,0,4
18-Jul-15,California,Santa Paula,Ojai-Santa Paula Street,0,5
18-Jul-15,Oregon,Salem,1550 Weston Ct NE,1,4
18-Jul-15,Louisiana,Baton Rouge,300 Block of Brice Street,2,2
17-Jul-15,Illinois,Chicago,4400 block of W. Maypole,0,5
17-Jul-15,Ohio,Cincinnati (Westwood),3100 block of Sunshine Avenue,0,4
16-Jul-15,Tennessee,Chattanooga,4051 Amnicola Highway,6,2
16-Jul-15,Texas,Dallas,Singleton and Hampton,0,5
15-Jul-15,Georgia,Atlanta,500 block of Center Hill Avenue,0,5
15-Jul-15,Maryland,Baltimore,3500 block of West Garrison Boulevard,1,3
15-Jul-15,Ohio,Cleveland,700 block of Thornhill,0,7
15-Jul-15,Michigan,Detroit,9200 block of Memorial,0,4
15-Jul-15,South Carolina,Holly Hill,7050 Old State Road,4,1
14-Jul-15,Missouri,Saint Louis,1100 block of Riverview,0,4
13-Jul-15,California,Norwalk,11959 162nd Street,0,4
13-Jul-15,California,Stockton,400 block of McCloud Avenue,1,4
12-Jul-15,Illinois,River Forest,116 Lathrop Avenue,2,3
12-Jul-15,New Jersey,Jersey City,Sip and Van Wagenen avenues,0,4
7-Jul-15,Ohio,Cleveland,East 162nd Street and Miles Avenue,1,3
7-Jul-15,Maryland,Baltimore,900 block of West Fayette Street,3,1
5-Jul-15,Louisiana,Shreveport,3500 block of Hearne Avenue,0,8
5-Jul-15,Indiana,Fort Wayne,1400 block of McCulloch Street,0,9
5-Jul-15,New Jersey,East Orange,200 block of S. Clinton St,1,3
4-Jul-15,District of Columbia,Washington,2600 Douglas Place SE,1,3
4-Jul-15,Kentucky,Louisville,2500 block of West Broadway,0,4
4-Jul-15,Massachusetts,Pittsfield,Dewey Avenue,1,4
4-Jul-15,New York,Syracuse,Bellevue and Rich Street,0,4
4-Jul-15,Texas,San Antonio,1100 block of West Avenue,0,4
2-Jul-15,Indiana,Indianapolis,Lynn and Michigan,1,3
29-Jun-15,Florida,Opa Locka,13450 N.W. 30th Ave,0,4
28-Jun-15,Michigan,Detroit,Gratiot and Loretto,0,5
28-Jun-15,Illinois,Venice,N/A,0,6
28-Jun-15,Delaware,Harrington,100 block of East St,0,6
27-Jun-15,Massachusetts,Taunton,Weir Street,1,3
27-Jun-15,Michigan,Detroit,Stringham Court,0,4
24-Jun-15,New York,New York (Manhattan),2110 Madison Ave,0,4
22-Jun-15,Pennsylvania,Philadelphia,700 block of East Hilton Street,0,7
21-Jun-15,Pennsylvania,Pittsburgh (Wilkinsburg),Rebecca and East Swissvale Avenue,0,4
21-Jun-15,Kentucky,Lexington,726 Georgetown St,1,4
20-Jun-15,Michigan,Detroit,Dexter and Webb,1,11
20-Jun-15,North Carolina,Morven,N/A,0,4
20-Jun-15,Pennsylvania,Philadelphia,4100 block of Ogden Street,0,11
19-Jun-15,Rhode Island,Woonsocket,80 River Street,0,4
17-Jun-15,South Carolina,Charleston,110 Calhoun Street,9,0
16-Jun-15,Florida,Miami Gardens,600 block of Northwest 177th Street,0,4
15-Jun-15,New York,Brooklyn,673 Flatbush Avenue,0,4
14-Jun-15,Oklahoma,Tulsa,1800 block of North Kingston,0,4
14-Jun-15,Missouri,Saint Louis,1400 block of North Market Street,0,4
14-Jun-15,New Jersey,Camden,2800 block of Saunders Street,1,3
13-Jun-15,Georgia,Fayetteville,600 block of Highway 279,1,4
13-Jun-15,Ohio,Columbus,1623 E. Hudson Street,4,1
13-Jun-15,Georgia,Milledgeville,451 North Flynn Street,1,3
13-Jun-15,New York,Bronx,2409 Creston Avenue,0,5
13-Jun-15,Oklahoma,Oklahoma City,500 block of Se 69th St,0,4
12-Jun-15,Florida,Allapattah,24th Avenue and 36th Street,0,4
11-Jun-15,Connecticut,Bridgeport,468 Trumbull Avenue,1,8
11-Jun-15,Texas,Houston,3400 Block of Burkett,1,3
10-Jun-15,California,Los Angeles,South Vermont Avenue and West 88th Street,1,3
9-Jun-15,Missouri,Saint Louis,North Market Street and North Spring Avenue,1,3
7-Jun-15,Montana,Deer Lodge,Boulder Creek Road,5,0
6-Jun-15,New York,Buffalo,100 block of Warren Avenue,1,4
6-Jun-15,Illinois,Chicago,100 block of North Lorel Avenue,0,5
5-Jun-15,Iowa,Davenport,900 block of West 3rd St,0,5
5-Jun-15,Louisiana,New Orleans,2100 Block of Governor Nicholls Street,1,3
3-Jun-15,New York,Wyandanch,Davidson Street,3,1
31-May-15,Ohio,Cleveland,16209 block of Laverne Avenue,3,1
31-May-15,Maryland,Springdale,9222 Ardwick Ardmore Road,1,3
31-May-15,Connecticut,New Haven,849 Chapel Street,0,5
31-May-15,Georgia,Conyers,4669 Bell Road SE,3,2
30-May-15,California,San Diego,4200 block of Market Street,0,4
28-May-15,Nebraska,Omaha,84th and Q,0,4
28-May-15,Illinois,Chicago,6200 block of South Honore Street,0,5
28-May-15,Pennsylvania,Chester,2700 block of West 3rd Street,1,3
26-May-15,Louisiana,New Orleans,6700 Block of Tara Lane,2,2
25-May-15,Illinois,Decatur,1816 N. Water,1,4
24-May-15,Michigan,Flint,W. 12th Street and Hammerberg Road.,0,7
24-May-15,Massachusetts,Brockton,1002 Main St,0,5
24-May-15,Alabama,Montgomery,Smiley Court,1,3
24-May-15,Missouri,Saint Louis,2700 block of Dayton,0,4
23-May-15,California,Fresno,2400 block of South 9th Street,2,2
20-May-15,Maryland,Baltimore,800 block of Linwood Avenue,1,4
18-May-15,Missouri,Kinloch,8000 block of School Way,0,4
18-May-15,Florida,Miami,Northwest 75th Street and Northwest 16th Avenue,1,4
17-May-15,Texas,Waco,4671 S Jack Kultgen Expy,9,18
16-May-15,Wisconsin,Milwaukee,28th Street and Auer Avenue,0,5
16-May-15,New York,Rochester,188 Lewis Street,0,4
16-May-15,Maryland,Baltimore,1700 block of North Broadway,0,5
12-May-15,Maryland,Capitol Heights,Pard Road,1,4
12-May-15,Arizona,Tucson,800 block of West Calle Medina Road,5,0
10-May-15,Ohio,Cleveland,3600 block of Bosworth Road,1,4
10-May-15,New Jersey,Jersey City,Bostwick Avenue,0,4
10-May-15,New Jersey,Newark,19th Avenue and South 16th Street,1,3
7-May-15,Ohio,Cincinnati,2300 block of Baltimore Avenue,0,4
4-May-15,New York,Buffalo,100 block of Roosevelt Avenue,1,3
3-May-15,Indiana,South Bend,1600 block of South William Street,0,4
3-May-15,Wisconsin,Menasha,North Lake Street,4,1
3-May-15,Texas,Houston,San Jacinto at Elgin,0,6
3-May-15,New York,Bronx,University Avenue,0,4
3-May-15,Ohio,Dayton,2801 Germantown Street,1,6
1-May-15,Wisconsin,Milwaukee,3700 block of 37th Street,2,3
27-Apr-15,New York,Brooklyn,1365 Flatbush Ave,2,4
27-Apr-15,Arizona,Gila Bend,State Route 85,2,2
25-Apr-15,New Jersey,Trenton,Wood Street,0,4
25-Apr-15,New York,Gates,24 Hinchey Rd,1,6
21-Apr-15,Texas,Killeen,420 Gilmer St.,2,3
19-Apr-15,Virginia,Richmond,200 block of West Hill Street,0,4
18-Apr-15,Pennsylvania,Williamsport,300 block of Pine Street,0,5
18-Apr-15,Alabama,Montgomery,1800 block of Gibbs Court,0,5
18-Apr-15,North Carolina,Lumberton,Martin Luther King Drive,1,3
18-Apr-15,North Carolina,Charlotte,Bost Street,0,4
18-Apr-15,New Jersey,Patterson,230 Rosa Parks Boulevard,1,3
16-Apr-15,Arizona,Phoenix,4300 block of East Anderson Drive,5,0
7-Apr-15,Georgia,Rome,20 Copeland Street,1,3
5-Apr-15,Pennsylvania,Pittsburgh,Dinwiddie Street,1,3
5-Apr-15,Kentucky,Louisville,40th and Grand Street,1,4
5-Apr-15,Indiana,Indianapolis,5000 block of Wildflower Court,0,5
5-Apr-15,Michigan,Benton Harbor,1000 block of Blossom Lane,0,4
3-Apr-15,Florida,Daytona Beach,300 block of Henry Butts Drive,0,4
2-Apr-15,Maryland,Baltimore,1900 block of West Lanvale Street,0,5
27-Mar-15,Florida,Panama City Beach,5312 Thomas Drive,0,7
26-Mar-15,Texas,Amarillo,3100 block of Redwood,0,4
24-Mar-15,Indiana,Indianapolis,3100 block of North Harding Street,4,0
23-Mar-15,Tennessee,Clarksville,900 block of Carpenter Street,1,4
22-Mar-15,New Mexico,Albuquerque,10140 Lomas NE,1,6
21-Mar-15,Florida,Tampa,1802 Seventh Ave,0,4
20-Mar-15,Texas,Lancaster,1500 block of Reynolds Street,1,5
18-Mar-15,New Jersey,Newark,200 block of Clinton Place,1,3
18-Mar-15,Arizona,Mesa,1504 West Main Street,1,5
17-Mar-15,California,Stockton,748 N Madison St,3,4
15-Mar-15,California,Compton,2700 block of West Alondra Boulevard,0,4
14-Mar-15,Georgia,Atlanta,2900 block of Delmar Lane,0,5
14-Mar-15,California,Coachella,84000 block of Bagdad Avenue,0,4
13-Mar-15,Mississippi,Brookhaven,1097 South First St.,2,3
10-Mar-15,Georgia,Columbus,3023 Victory Drive,0,5
9-Mar-15,Illinois,Chicago,200 block of West 105th,1,3
8-Mar-15,South Carolina,Seneca,Wells Highway,1,3
4-Mar-15,California,San Bernardino,190 block of West Club Center Drive,2,5
1-Mar-15,Florida,Orange County,4900 block of Steyr Street,0,4
1-Mar-15,Michigan,Detroit,9855 Chalmers St,1,5
28-Feb-15,Maryland,Baltimore,4300 block of Welbourne Road,1,3
26-Feb-15,Missouri,Tyrone,18279 Highway H,8,1
25-Feb-15,Texas,Houston,Mallow St.,3,3
22-Feb-15,Texas,Killeen,1706 Godman St.,4,1
22-Feb-15,Georgia,Clarkesville,281 Lower Pond Court,3,2
22-Feb-15,South Carolina,Charleston,4224 Dorchester Road,0,4
20-Feb-15,California,Sacramento,1417 R Street,0,4
17-Feb-15,Arkansas,Little Rock,7900 Scott Hamilton,1,3
15-Feb-15,California,Long Beach,200 block of W. 14th Street,0,5
9-Feb-15,Florida,New Port Richey,9552 Adler Street,3,1
8-Feb-15,Tennessee,Maury City,251 Dupree Road,0,6
7-Feb-15,Georgia,Douglasville,3640 Willow Tree Circle,5,2
6-Feb-15,Oklahoma,Tulsa,1219 N. Sheridan Road,1,4
5-Feb-15,Ohio,Beachwood (Warrensville Heights),Harvard Road,3,3
1-Feb-15,New York,Syracuse,1217 West Fayette Street,0,6
1-Feb-15,New York,New York (Manhattan),3345 Broadway,1,4
31-Jan-15,Georgia,Lagrange,100 block of Woodstream Trail,4,0
28-Jan-15,Georgia,Dekalb County,1600 block of Panola Road,1,3
26-Jan-15,California,Stockton,1500 block of E. 9th Street,1,3
24-Jan-15,New York,Arverne (Queens),231-11 148th Avenue,4,1
24-Jan-15,Nebraska,Omaha,3402 Parker St,3,5
23-Jan-15,Massachusetts,Boston,954 Parker Street,0,6
20-Jan-15,Tennessee,Clarksville,321 Lansinger Lane,1,3
19-Jan-15,Texas,San Antonio,1000 block of Gibbs St.,2,5
16-Jan-15,California,Oakland,105th and Edes,2,2
13-Jan-15,Virginia,Portsmouth,4100 block of Portsmouth Boulevard,0,5
13-Jan-15,Illinois,Rockford,700 block of Oakley Avenue,2,2
11-Jan-15,North Carolina,Hope Mills,1900 block of Gumberry Road,2,5
11-Jan-15,Florida,Lakeland,7665 Chase Road,1,3
11-Jan-15,California,San Jose,3840 Monterey Hwy,0,5
10-Jan-15,Kansas,Wichita,4859 E Harry Street,2,2
9-Jan-15,California,San Francisco,Laguna and Page streets,4,0
8-Jan-15,Massachusetts,Boston,104 Harrishof Street,1,3
7-Jan-15,Tennessee,Chattanooga,773 West Main Street,1,3
6-Jan-15,Florida,Miami,1300 block of NW 62nd Street,1,3
4-Jan-15,Virginia,Roanoke,3634 Shenandoah Ave NW,2,4
4-Jan-15,Texas,Dallas,2000 block of Ben Hur St.,3,1
2-Jan-15,Georgia,Savannah,500 block of W. 54th Street,1,4
1-Jan-15,Tennessee,Memphis,Interstate 240 and Poplar Avenue,0,5
31-Dec-14,California,Los Angeles,81st Street and Western Avenue,1,3
29-Dec-14,Louisiana,New Orleans,Poydras and Bolivar,0,4
27-Dec-14,California,Los Angeles,8800 block of South Figueroa Street,1,3
27-Dec-14,California,Sacramento,4000 block of May Street,0,4
26-Dec-14,Illinois,East St. Louis,2500 block of Summit Avenue,1,3
24-Dec-14,Missouri,Saint Louis,18th and Pine,1,3
23-Dec-14,Kentucky,Winchester,260 Oxford Drive,1,3
22-Dec-14,New York,Webster,191 Lake Road,3,2
22-Dec-14,Michigan,Detroit,Charlevoix and Philip,1,3
22-Dec-14,Illinois,Chicago,5700 block of South Green Street,0,5
21-Dec-14,Florida,Sarasota,South Washington Boulevard,2,2
21-Dec-14,Mississippi,Waynesboro,Central Avenue,1,4
21-Dec-14,Illinois,Calumet City,600 block of Escanba,1,8
20-Dec-14,Illinois,Rockford,3200 block of Montrose Avenue,4,0
16-Dec-14,New Jersey,Elizabeth,Anna Street,0,4
14-Dec-14,Florida,Miami,1311 Northwest 2nd Avenue,1,4
13-Dec-14,Florida,Tampa,810 E. Skagway Ave.,0,5
12-Dec-14,Oregon,Portland,717 North Killingsworth Court,0,4
12-Dec-14,Georgia,Macon,2822 Bloomfield Drive,3,3